id,rainfall
2190,0.99737775
2191,0.99858284
2192,0.98390365
2193,0.04400814
2194,0.02261652
2195,0.9399312
2196,0.96139556
2197,0.99359787
2198,0.9869207
2199,0.9785363
2200,0.9953377
2201,0.02893545
2202,0.99504197
2203,0.99204504
2204,0.30328467
2205,0.013497438
2206,0.97973746
2207,0.90429527
2208,0.03352353
2209,0.009769948
2210,0.015451159
2211,0.032567523
2212,0.81152886
2213,0.9979243
2214,0.92761785
2215,0.47043595
2216,0.01583511
2217,0.99590576
2218,0.97741085
2219,0.46972257
2220,0.9865166
2221,0.9861959
2222,0.87418306
2223,0.9975163
2224,0.9621719
2225,0.99238235
2226,0.1726686
2227,0.9804379
2228,0.8606151
2229,0.84627306
2230,0.9292405
2231,0.8277671
2232,0.05365385
2233,0.90392876
2234,0.9675089
2235,0.1723339
2236,0.096862875
2237,0.98726547
2238,0.10342668
2239,0.8001852
2240,0.9662234
2241,0.9970939
2242,0.98963916
2243,0.99257654
2244,0.9976553
2245,0.99740845
2246,0.9974043
2247,0.9721264
2248,0.98320824
2249,0.9889392
2250,0.97997504
2251,0.99026525
2252,0.98033327
2253,0.9590955
2254,0.067972675
2255,0.45055202
2256,0.047936413
2257,0.9756731
2258,0.96695507
2259,0.050262246
2260,0.9986279
2261,0.98585993
2262,0.9414908
2263,0.9835638
2264,0.964019
2265,0.9892916
2266,0.9331151
2267,0.98920304
2268,0.36910564
2269,0.99674195
2270,0.90202945
2271,0.99403495
2272,0.35868323
2273,0.8760566
2274,0.9848852
2275,0.99250305
2276,0.99183977
2277,0.925644
2278,0.98791295
2279,0.9729375
2280,0.97293186
2281,0.95250744
2282,0.93487334
2283,0.9338722
2284,0.96862376
2285,0.9761016
2286,0.9894929
2287,0.97030973
2288,0.9588348
2289,0.922449
2290,0.99581665
2291,0.94938755
2292,0.79691315
2293,0.9851158
2294,0.9894106
2295,0.98163867
2296,0.9874033
2297,0.90853155
2298,0.99291515
2299,0.9361918
2300,0.978639
2301,0.89448905
2302,0.92847383
2303,0.9896276
2304,0.9875963
2305,0.98372287
2306,0.9438113
2307,0.8812769
2308,0.97803706
2309,0.99001044
2310,0.743213
2311,0.87683934
2312,0.8644393
2313,0.36399132
2314,0.9584323
2315,0.79526055
2316,0.9954146
2317,0.9916978
2318,0.99337983
2319,0.98768777
2320,0.99520713
2321,0.9855343
2322,0.7471979
2323,0.98972636
2324,0.9948748
2325,0.9839887
2326,0.9911714
2327,0.9736824
2328,0.9821566
2329,0.9936127
2330,0.9972807
2331,0.90176076
2332,0.05625371
2333,0.98208076
2334,0.9911452
2335,0.99716115
2336,0.9971367
2337,0.046046726
